A,B,C,D,E,F,G,H,I,J,K
report_date,revenue,expenses,occupancy_rate,,,,,,,
West,11.0,28%,"1,337",,,,,,,
Midwest & Northeast,16.0,41%,"1,956",,,,,,,
South,12.0,31%,"1,449",,,,,,,
Total,39.0,100%,"4,742",,,,,,,
,,,,,,,,,,
Hotel,Keys,Brand,Address,,,,,,,
sonesta simply suites Phoenix,98,sonesta simply suites,11411 n. black Canyon Highway,,,,,,,
sonesta simply suites Phoenix Tempe,122,sonesta simply suites,1335 W. baseline Road,,,,,,,
sonesta simply suites silicon Valley santa Clara,122,sonesta simply suites,481 el Camino Real,,,,,,,
sonesta simply suites anaheim,133,sonesta simply suites,12901 Garden Grove boulevard,,,,,,,
sonesta simply suites orange County airport,122,sonesta simply suites,2600 s. Red Hill avenue,,,,,,,
sonesta simply suites Irvine east foothill,122,sonesta simply suites,3 south Pointe Drive,,,,,,,
sonesta simply suites Denver West federal Center,122,sonesta simply suites,895 Tabor street,,,,,,,
sonesta simply suites albuquerque,123,sonesta simply suites,"3025 Richmond avenue, ne",,,,,,,
sonesta simply suites salt lake City airport,122,sonesta simply suites,2170 West north Temple street,,,,,,,
sonesta simply suites seattle Renton,137,sonesta simply suites,300 sW 19th street,,,,,,,
*sonesta select seattle Renton,114,sonesta select,200 sW 19th street,,,,,,,
,,,,,,,,,,
Hotel,Keys,Brand,Address,,,,,,,
sonesta simply suites Des Moines,98,sonesta simply suites,7625 office Plaza Drive n.,,,,,,,
sonesta simply suites Chicago Waukegan,122,sonesta simply suites,1151 s. Waukegan Road,,,,,,,
sonesta simply suites Chicago libertyville,122,sonesta simply suites,1100 n. Us Route 45,,,,,,,
sonesta simply suites Chicago naperville,122,sonesta simply suites,27 W. 300 Warrenville Road,,,,,,,
sonesta simply suites Chicago o'Hare,160,sonesta simply suites,4021 n. Mannheim Road,,,,,,,
sonesta simply suites boston braintree,133,sonesta simply suites,235 Wood Road,,,,,,,
sonesta simply suites baltimore bWI airport,125,sonesta simply suites,1247 Winterson Road,,,,,,,
sonesta simply suites Detroit Warren,122,sonesta simply suites,7010 Convention boulevard,,,,,,,
sonesta simply suites Detroit Troy,118,sonesta simply suites,2550 Troy Center Drive,,,,,,,
sonesta simply suites Detroit ann arbor,122,sonesta simply suites,701 Waymarket Way,,,,,,,
sonesta simply suites st. louis earth City,122,sonesta simply suites,3250 Rider Trail s.,,,,,,,
sonesta simply suites Parsippany Morris Plains,122,sonesta simply suites,100 Candlewood Drive,,,,,,,
sonesta simply suites Cleveland north olmstead airport,125,sonesta simply suites,24741 Country Club boulevard,,,,,,,
sonesta simply suites Columbus airport,122,sonesta simply suites,590 Taylor Road,,,,,,,
sonesta simply suites Pittsburgh airport,123,sonesta simply suites,100 Chauvet Drive,,,,,,,
sonesta simply suites Hampton,98,sonesta simply suites,401 butler farm Road,,,,,,,
,,,,,,,,,,
